0,1,2,3,4,5
79643.99999999999,78231.53999999998,77800.34,78147.97999999998,78495.62,77276.77999999998
78231.53999999998,77800.34,78147.97999999998,78495.62,77276.77999999998,76669.56
77800.34,78147.97999999998,78495.62,77276.77999999998,76669.56,76572.53999999998
78147.97999999998,78495.62,77276.77999999998,76669.56,76572.53999999998,76378.49999999999
78495.62,77276.77999999998,76669.56,76572.53999999998,76378.49999999999,76953.01999999999
77276.77999999998,76669.56,76572.53999999998,76378.49999999999,76953.01999999999,77908.87999999998
76669.56,76572.53999999998,76378.49999999999,76953.01999999999,77908.87999999998,77711.42499999999
76572.53999999998,76378.49999999999,76953.01999999999,77908.87999999998,77711.42499999999,77229.65
76378.49999999999,76953.01999999999,77908.87999999998,77711.42499999999,77229.65,77411.32499999998
76953.01999999999,77908.87999999998,77711.42499999999,77229.65,77411.32499999998,78550.60499999998
77908.87999999998,77711.42499999999,77229.65,77411.32499999998,78550.60499999998,78880.11499999999
77711.42499999999,77229.65,77411.32499999998,78550.60499999998,78880.11499999999,78804.73999999999
77229.65,77411.32499999998,78550.60499999998,78880.11499999999,78804.73999999999,80731.72999999998
77411.32499999998,78550.60499999998,78880.11499999999,78804.73999999999,80731.72999999998,81284.93999999999
78550.60499999998,78880.11499999999,78804.73999999999,80731.72999999998,81284.93999999999,81439.69999999998
78880.11499999999,78804.73999999999,80731.72999999998,81284.93999999999,81439.69999999998,84246.65999999999
78804.73999999999,80731.72999999998,81284.93999999999,81439.69999999998,84246.65999999999,85805.4
80731.72999999998,81284.93999999999,81439.69999999998,84246.65999999999,85805.4,85237.24999999999
81284.93999999999,81439.69999999998,84246.65999999999,85805.4,85237.24999999999,86818.83999999998
81439.69999999998,84246.65999999999,85805.4,85237.24999999999,86818.83999999998,87817.99999999999
84246.65999999999,85805.4,85237.24999999999,86818.83999999998,87817.99999999999,88403.90999999999
85805.4,85237.24999999999,86818.83999999998,87817.99999999999,88403.90999999999,90433.40999999999
85237.24999999999,86818.83999999998,87817.99999999999,88403.90999999999,90433.40999999999,92953.75499999999
86818.83999999998,87817.99999999999,88403.90999999999,90433.40999999999,92953.75499999999,95463.84499999999
87817.99999999999,88403.90999999999,90433.40999999999,92953.75499999999,95463.84499999999,97044.49999999999
88403.90999999999,90433.40999999999,92953.75499999999,95463.84499999999,97044.49999999999,98070.0
90433.40999999999,92953.75499999999,95463.84499999999,97044.49999999999,98070.0,97792.00499999998
92953.75499999999,95463.84499999999,97044.49999999999,98070.0,97792.00499999998,99210.79499999998
95463.84499999999,97044.49999999999,98070.0,97792.00499999998,99210.79499999998,101126.37
97044.49999999999,98070.0,97792.00499999998,99210.79499999998,101126.37,101564.45999999999
98070.0,97792.00499999998,99210.79499999998,101126.37,101564.45999999999,101000.87999999998
97792.00499999998,99210.79499999998,101126.37,101564.45999999999,101000.87999999998,100218.0
99210.79499999998,101126.37,101564.45999999999,101000.87999999998,100218.0,100740.29999999999
101126.37,101564.45999999999,101000.87999999998,100218.0,100740.29999999999,100782.29999999997
101564.45999999999,101000.87999999998,100218.0,100740.29999999999,100782.29999999997,100825.22499999998
101000.87999999998,100218.0,100740.29999999999,100782.29999999997,100825.22499999998,101871.59499999999
100218.0,100740.29999999999,100782.29999999997,100825.22499999998,101871.59499999999,101914.51999999999
100740.29999999999,100782.29999999997,100825.22499999998,101871.59499999999,101914.51999999999,101936.44999999998
100782.29999999997,100825.22499999998,101871.59499999999,101914.51999999999,101936.44999999998,101838.84
100825.22499999998,101871.59499999999,101914.51999999999,101936.44999999998,101838.84,99659.03999999998
101871.59499999999,101914.51999999999,101936.44999999998,101838.84,99659.03999999998,96522.45999999999
101914.51999999999,101936.44999999998,101838.84,99659.03999999998,96522.45999999999,94868.81499999999
101936.44999999998,101838.84,99659.03999999998,96522.45999999999,94868.81499999999,93717.31499999999
101838.84,99659.03999999998,96522.45999999999,94868.81499999999,93717.31499999999,92662.92
99659.03999999998,96522.45999999999,94868.81499999999,93717.31499999999,92662.92,93280.72499999998
96522.45999999999,94868.81499999999,93717.31499999999,92662.92,93280.72499999998,94044.05999999998
94868.81499999999,93717.31499999999,92662.92,93280.72499999998,94044.05999999998,95288.96499999998
93717.31499999999,92662.92,93280.72499999998,94044.05999999998,95288.96499999998,97015.44999999998
92662.92,93280.72499999998,94044.05999999998,95288.96499999998,97015.44999999998,96352.17
93280.72499999998,94044.05999999998,95288.96499999998,97015.44999999998,96352.17,95541.88999999998
94044.05999999998,95288.96499999998,97015.44999999998,96352.17,95541.88999999998,95556.74999999999
95288.96499999998,97015.44999999998,96352.17,95541.88999999998,95556.74999999999,94146.64499999999
97015.44999999998,96352.17,95541.88999999998,95556.74999999999,94146.64499999999,92708.46499999998
96352.17,95541.88999999998,95556.74999999999,94146.64499999999,92708.46499999998,89490.20999999999
95541.88999999998,95556.74999999999,94146.64499999999,92708.46499999998,89490.20999999999,85848.48999999999
95556.74999999999,94146.64499999999,92708.46499999998,89490.20999999999,85848.48999999999,86664.99999999999
94146.64499999999,92708.46499999998,89490.20999999999,85848.48999999999,86664.99999999999,86356.31999999998
92708.46499999998,89490.20999999999,85848.48999999999,86664.99999999999,86356.31999999998,83572.82999999999
