0,1,2,3
52956.73056899998,50541.19079259476,53673.63276003178,55328.31409199996
53026.963068999976,51391.02504173141,54085.06493225606,57189.85011499996
53164.32306899998,51922.931291382454,54039.42147779217,59123.12363799996
53304.89306899997,52512.90727807892,53895.02646959325,61123.29716099996
53315.075568999964,52975.05722047435,53454.09038139463,61015.354660999954
53197.25806899996,53061.06484169491,55228.29374019976,60904.60466099995
55328.31409199996,52941.80399169355,57082.822365162465,58758.882643749945
57189.85011499996,56102.97290096632,62567.255848893816,56610.71312649995
59123.12363799996,59172.68747893648,65259.102479159825,54326.91360924994
61123.29716099996,61909.660741013555,65486.928071296425,52316.20409199994
61015.354660999954,64323.95247361532,65362.50449498122,52247.49659199994
60904.60466099995,63705.93243630526,60185.22089557131,52294.80159199994
58758.882643749945,62824.86501241141,57191.116370478885,52255.72659199993
56610.71312649995,59368.95741502624,51781.73972607589,51923.26659199993
54326.91360924994,55894.87346241846,49083.2658441307,51664.82409199994
52316.20409199994,52654.74357436576,48828.19989192402,51532.67909199994
52247.49659199994,50214.37992569206,49545.80177925026,51590.24159199994
52294.80159199994,50560.740288834655,52380.27304348027,51700.57159199994
52255.72659199993,51313.8593911287,52915.151535795296,52127.38159199993
51923.26659199993,51631.21029133601,52580.25061065035,52407.95659199993
51664.82409199994,51270.59222991719,51754.44467108136,52821.15409199994
51532.67909199994,50998.2178945103,51573.86428284543,53510.67159199994
51590.24159199994,50932.23194166644,51611.65244915196,54047.181591999935
51700.57159199994,51097.98625593133,52238.092945463,54717.696591999935
52127.38159199993,51350.86273247113,52808.800993021374,55310.43659199993
52407.95659199993,52155.084657473555,54042.84476036981,55827.359091999926
52821.15409199994,52852.13548729157,54895.79661074994,56334.936591999925
53510.67159199994,53585.42625153264,55587.11132338912,56768.33159199993
54047.181591999935,54503.00501588094,56445.70409356026,57461.83159199993
54717.696591999935,55078.77081068416,56693.02146510756,58260.06159199993
55310.43659199993,55737.92476606096,57253.417675810226,59567.83409199993
55827.359091999926,56369.98934257234,57727.955106104295,60884.18909199993
56334.936591999925,56982.60852378739,58161.70867602097,61937.10409199992
56768.33159199993,57603.14268150392,58898.4006532177,63269.58409199992
57461.83159199993,58104.04667872888,59632.02610337075,64303.47159199992
58260.06159199993,58917.89876720744,61309.15536066181,65485.15159199992
59567.83409199993,59875.5828331565,62892.1797991227,66728.65659199993
60884.18909199993,61505.54914014088,64774.09192249153,67467.87909199993
61937.10409199992,63168.14861433358,66379.2527773433,68207.10159199992
63269.58409199992,64391.72466645876,67173.10333027338,68847.85909199991
64303.47159199992,65898.41397513554,68682.29233445623,69319.80409199992
65485.15159199992,67020.32141052096,69565.2428902807,69936.01909199991
66728.65659199993,68239.53348499679,70368.79233761152,70820.1015919999
67467.87909199993,69514.11404227259,71158.69629935794,71409.96409199991
68207.10159199992,70129.48281031405,71170.33957577836,72557.7715919999
68847.85909199991,70709.48534828005,71530.33723016019,73709.9740919999
69319.80409199992,71230.74851575028,71976.53886538744,74684.0665919999
69936.01909199991,71548.06306324713,72546.14893888902,75436.27159199989
70820.1015919999,72006.26336627247,73159.03014038254,75885.53659199989
71409.96409199991,72825.47334855188,74593.67374496291,76502.5440919999
72557.7715919999,73328.75514351916,75429.73572477385,76872.6740919999
73709.9740919999,74547.218682639,77069.07291154617,77854.92409199991
74684.0665919999,75861.39147257947,77945.4331582902,78440.59909199992
75436.27159199989,76926.95716396256,78190.29760803016,78248.25159199991
75885.53659199989,77632.6326743337,78436.85529083184,77779.60159199992
76502.5440919999,77939.22151985328,78331.80248864282,77033.9140919999
76872.6740919999,78448.41889224754,79392.38431767268,76164.7215919999
77854.92409199991,78668.67005045967,79635.93569769285,75799.1915919999
78440.59909199992,79632.40023311414,80144.93277833323,75595.18159199989
78248.25159199991,80160.16392617035,79316.11251621126,75548.3440919999
77779.60159199992,79676.5737334929,77561.94216840478,76038.9815919999
77033.9140919999,78783.10177335757,76068.63063771956,76696.7315919999
76164.7215919999,77580.48305880406,75083.86608940145,77871.0015919999
75799.1915919999,76200.2218674721,74412.19995067049,78649.5340919999
75595.18159199989,75425.41919959543,74762.00191715072,79112.3265919999
75548.3440919999,74984.08903281056,75550.01285057241,79116.2465919999
76038.9815919999,74869.05914258625,76573.7107150613,78394.2815919999
76696.7315919999,75529.97868301356,78552.32243876864,77486.9540919999
77871.0015919999,76487.38762504037,79688.0112307155,75947.76409199991
78649.5340919999,78018.61666566363,80780.78133116817,74761.40909199991
79112.3265919999,78989.83550666981,80336.70457300641,73519.39409199991
79116.2465919999,79477.80537475795,79160.7099173067,72939.74909199991
78394.2815919999,79368.35562558699,77599.49712635056,73262.33909199991
77486.9540919999,78361.29466447773,75044.60000354108,73274.2440919999
75947.76409199991,77058.56223775395,73373.28001745044,74133.90409199991
74761.40909199991,74939.9394921728,71156.57862358657,74750.61409199992
73519.39409199991,73271.43683352256,70829.73037202275,75122.49659199991
72939.74909199991,71659.64522936486,71116.96240392697,75491.47409199992
73262.33909199991,70977.99638200414,72004.07047466763,75238.9465919999
73274.2440919999,71550.55983349633,74168.39950942059,74618.37159199991
74133.90409199991,71803.6614489815,74655.98385572115,73753.95909199992
74750.61409199992,73028.65195202219,76066.37158516758,72893.1015919999
