0,1,2,3,4,5
99864.78048632464,98924.70600379446,97819.16720248497,96552.20914763118,95278.99181699708,93916.01633948184
98691.28194523371,97746.10486407374,96587.25316050039,95283.98866228737,94059.364991143,92808.28976596192
95570.21007558204,94574.02022729184,93411.50681433908,92177.62972599045,91082.21019735218,89583.44082236466
96352.50057561246,95396.28548964458,94208.1136727012,92901.97400557116,91751.7147608303,90885.0397054809
94489.43738446133,93487.72192418345,92400.93451187998,91284.14619908363,90438.14592160199,89279.20168385659
86972.89980862223,86011.41688443164,85040.15838592316,84060.90229111671,83143.59782449267,81007.71084624188
85314.49576769408,84562.06736689851,83416.4414403435,82025.00509534148,80455.03397975917,79272.06720999318
85483.00049498335,84627.39649236047,83279.26613987431,81773.2063940466,80445.41042586676,79889.5014729463
84722.17792286679,83658.23323189036,82320.92937753318,81088.48987364306,80337.76013586283,79636.2883207359
84018.58112657473,82940.30024851546,81805.59335426145,80859.19019532192,80342.69088531595,79476.07862101187
83839.56716117494,82930.88159171828,82035.4746759497,81226.676440421,80656.15700269339,79776.92043348924
83088.29543752989,82377.05796246062,81631.19287829634,80841.71115118149,80158.40908169345,79192.85795872487
84557.34812412434,84007.91325845498,83274.8377187837,82380.31648723326,81610.24710749616,81080.80623257169
82698.34982695937,82110.75122490623,81402.30299416567,80614.37121443253,80091.04420444656,79154.91894818746
83923.2973677059,83402.2110066001,82702.13050884567,81875.28480497684,81313.61229505486,80911.89171109194
80652.21438600602,80070.40577928924,79469.72681105953,78837.69528246672,78510.24328594343,77517.82420516395
79177.95995702603,78719.9488533346,78142.72399292578,77430.66692947557,76821.08154718677,76113.65449713054
82433.87394409467,82075.82618454393,81471.62100340103,80662.1684190843,80058.36642254815,80289.26231533702
83144.61570038514,82687.88024635114,82210.0205627566,81706.88583102704,81653.55970959573,81514.23629441843
79281.90227056455,78847.57330533226,78563.11665089011,78309.42430386021,78284.53922116452,77209.30866599079
78095.0391511972,77899.36242524604,77610.17000407045,77120.37010749057,76493.64937941464,75800.23795163097
76241.9498218755,76059.19483209171,75618.375255649,74934.08174860339,74164.21396116966,73572.89416348367
76692.98120516146,76433.6740167637,75816.85774988816,75009.4541365238,74319.28140476163,74207.17625533222
56108.28204908724,55270.97337419389,54603.349237283335,54020.0270358953,53469.042222844226,49804.21972952009
52796.11554739645,52321.540826909426,51081.326800171824,49178.67220255397,46453.14921806918,45850.912040478106
53086.970278876965,52201.742122033065,50378.74292258445,48275.931953651045,46337.448455097554,47117.78747553543
50804.82973692125,49338.80754446119,47530.7509614015,46253.313411563904,45941.04528123522,45868.52823348068
50755.791582926555,49378.957460752026,48098.39523021207,47563.82201353109,47761.91949951871,47388.3293038567
51303.78060215775,50396.200485577814,49694.98809661179,49606.47750865728,49712.02264624724,48991.00463967228
54764.619775194,54434.25295225137,54041.47513505799,53966.99173614755,53721.473791780045,53349.73923674667
54982.6269797341,54819.178583988585,54498.74266058123,54400.729143637145,54197.517492248255,53323.42813636396
57280.37605363825,57215.72441050732,56857.161103426624,56546.03147389325,56237.469667634046,55946.46291572804
55962.672919794764,55722.404637294734,55386.49567840515,55133.77824497355,55142.00717670161,54555.360354703764
56412.6500744778,56204.96703970415,55966.377591468314,55689.90200936483,55653.94256915077,55639.63282040278
55497.42762672472,55303.16204689722,55188.8757348411,55043.4120163904,55138.920501105626,55133.82120726771
55251.79897182996,55176.44641266069,55148.9868971071,55068.964667041546,55091.235659377046,55296.03691564995
57407.22718434098,57477.103703400455,57467.2917763721,57462.80056423618,57510.4821011729,58186.11705354884
